track,checkpoint,progress,alpha,unsat_n,unsat_mean_s,unsat_median_s,sat_n,sat_mean_s,sat_median_s,overall_solver_n,overall_solver_mean_s,overall_solver_median_s
A,epoch_000,0%,0.95,21,40.10,7.65,0,,,105,519.51,611.79
A,epoch_000,0%,0.99,20,99.56,71.10,0,,,105,532.95,610.15
A,epoch_018,25%,0.95,137,45.86,8.63,0,,,420,427.02,601.40
A,epoch_018,25%,0.99,111,13.74,8.86,0,,,420,455.02,603.06
A,epoch_035,50%,0.95,158,32.34,7.59,0,,,418,391.23,600.90
A,epoch_035,50%,0.99,122,41.71,8.63,0,,,419,444.88,602.01
A,epoch_052,75%,0.95,170,30.74,7.20,0,,,420,374.83,600.65
A,epoch_052,75%,0.99,152,28.30,8.04,0,,,420,399.30,601.43
A,epoch_070,100%,0.95,173,23.23,7.36,0,,,420,367.06,601.06
A,epoch_070,100%,0.99,153,26.12,7.86,0,,,420,396.83,601.44
B,epoch_000,0%,0.95,21,59.34,11.50,0,,,105,527.83,615.80
B,epoch_000,0%,0.99,18,94.34,110.63,0,,,105,557.98,615.97
B,epoch_025,25%,0.95,125,41.75,10.90,0,,,420,443.14,601.98
B,epoch_025,25%,0.99,98,29.78,11.83,0,,,420,477.95,603.23
B,epoch_050,50%,0.95,167,30.89,10.18,0,,,420,379.96,601.52
B,epoch_050,50%,0.99,144,35.92,11.10,0,,,420,414.24,602.45
B,epoch_075,75%,0.95,196,41.68,10.02,0,,,420,344.61,600.50
B,epoch_075,75%,0.99,170,37.52,10.79,0,,,420,378.19,601.04
B,epoch_100,100%,0.95,194,40.61,10.26,0,,,420,346.24,600.54
B,epoch_100,100%,0.99,176,24.59,10.87,0,,,420,364.72,601.30
