method,alpha,epsilon,mean_rejection_rate,total_timeout,alpha_label
Implication L4L5,0.95,0.01,65.0,27,0.95
Implication L4L5,0.99,0.01,56.25,34,0.99
Implication L4L5+L5L6,0.95,0.01,66.25,27,0.95
Implication L4L5+L5L6,0.99,0.01,58.75,33,0.99
Unary ON/OFF,0.95,0.01,100.0,0,0.95
Unary ON/OFF,0.99,0.01,95.0,4,0.99
Implication L4L5,0.95,0.02,1.25,79,0.95
Implication L4L5,0.99,0.02,0.0,80,0.99
Implication L4L5+L5L6,0.95,0.02,1.25,79,0.95
Implication L4L5+L5L6,0.99,0.02,0.0,80,0.99
Unary ON/OFF,0.95,0.02,91.25,7,0.95
Unary ON/OFF,0.99,0.02,31.25,51,0.99
